"ΟΝΟΜΑΣΙΑ ΦΟΡΕΑ - ΥΠΗΡΕΣΙΑΣ","ΕΠΟΠΤΕΥΟΝ ΥΠΟΥΡΓΕΙΟ","ΝΟΜΙΚΗ ΜΟΡΦΗ - ΕΙΔΟΣ ΥΠΗΡΕΣΙΑΣ","ΤΟΜΕΙΣ ΠΟΛΙΤΙΚΗΣ","ΥΠΑΓΩΓΗ ΣΤΟ ΔΗΜΟΣΙΟ ΤΟΜΕΑ","ΛΟΙΠΕΣ ΠΛΗΡΟΦΟΡΙΕΣ",﻿"URL","FRAMEWORKS","SERVER","CDN","SSL","COPYRIGHT"
"ΑΡΑΒΟΕΛΛΗΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΜΠΟΡΙΟΥ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","ΕΜΠΟΡΙΟΥ","ΕΝΤΟΣ","","noWebsite","","","","","",""
"ΑΡΔΕΥΤΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΣΤΥΜΦΑΛΙΑΣ ΑΣΩΠΟΥ ΚΟΡΙΝΘΙΑΣ","ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","ΥΠΟ ΤΗΝ ΕΠΟΠΤΕΙΑ ΤΟΥ ΟΙΚΕΙΟΥ ΠΕΡΙΦΕΡΕΙΑΡΧΗ","https://www.diavgeia.gov.gr","","nginx/","yes","yes","self hosted","N/A"
"ΑΡΕΤΑΙΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΠΑΙΕ&Θ","www.aretaieio.uoa.gr/","","nginx/","yes","N/A","self hosted","N/A"
"ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","","https://www.auth.gr/","PHP/","Apache 2.2/Varnish/Apache/","yes","yes","Dedicated Hosting","N/A"
"ΑΡΧΑΙΟΛΟΓΙΚΗ ΕΤΑΙΡΕΙΑ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","www.archetai.gr/","","Apache 2.0/Apache/Apache 2.4/","N/A","N/A","Dedicated Hosting","N/A"
"ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΗΡΑΚΛΕΙΟΥ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","www.latsis-foundation.org","ASP.NET/Classic ASP/PHP/","IIS/IIS 6/nginx 1.0/nginx/","yes","N/A","self hosted","N/A"
"ΑΡΧΑΙΟΛΟΓΙΚΟ ΜΟΥΣΕΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","https://www.amth.gr/","Frontpage Extensions/Perl/PHP/","Apache 2.2/Apache/Apache 2.4/","yes","yes","Hetzner","Copyright Year 2017"
"ΑΡΧΕΙΑ ΤΑΙΝΙΩΝ ΕΛΛΑΔΟΣ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΚΟΙΝΩΦΕΛΗ ΙΔΡΥΜΑΤΑ","ΠΟΛΙΤΙΣΜΟΥ","ΕΚΤΟΣ","","www.tainiothiki.gr/","Shockwave Flash Embed/DAV/Frontpage Extensions/PHP/","Apache/Varnish/nginx/Apache 2.2/","yes","N/A","Hetzner","Copyright Year 2006"
"ΑΡΧΗ ΠΡΟΣΦΥΓΩΝ","ΜΕΤΑΝΑΣΤΕΥΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","asylo.gov.gr","Vantage/PHP/","Apache/Apache 2.2/","N/A","N/A","self hosted","N/A"
"ΑΣΠΡΟΦΟΣ ΑΕ","ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΕΝΕΡΓΕΙΑΣ","ΕΚΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ ΕΛ.ΠΕ.","www.asprofos.gr","PHP/ASP.NET/","Apache/IIS 7/IIS/","N/A","yes","Cloudflare Hosting","N/A"
"ΑΣΤΙΚΕΣ ΣΥΓΚΟΙΝΩΝΙΕΣ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΜΕΤΑΦΟΡΩΝ","ΕΝΤΟΣ","ΘΥΓΑΤΡΙΚΗ ΤΗΣ Ο.Σ.Ε.Θ.","www.yme.gr","Adobe Dreamweaver/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΑΣΤΥΝΟΜΙΚΑ ΤΜΗΜΑΤΑ ΤΜΗΜΑΤΑ ΑΣΦΑΛΕΙΑΣ ΤΜΗΜΑΤΑ ΤΡΟΧΑΙΑΣ ΚΑΙ ΙΣΟΤΙΜΕΣ ΥΠΗΡΕΣΙΕΣ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"ΑΣΤΥΝΟΜΙΚΗ ΑΚΑΔΗΜΙΑ","ΕΣΩΤΕΡΙΚΩΝ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΦΟΡΕΙΣ ΕΠΑΓΓΕΛΜΑΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.astynomia.gr","Shockwave Flash Embed/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΑΣΤΥΝΟΜΙΚΟΙ ΣΤΑΘΜΟΙ ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.police.gov.cy","Shockwave Flash Embed/","Lotus Domino/","N/A","N/A","self hosted","N/A"
"ΣΤΑΘΜΟΙ ΤΡΟΧΑΙΑΣ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.et.gr","PHP/PHP 7/","Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"ΣΤΑΘΜΟΙ ΤΟΥΡΙΣΤΙΚΗΣ ΑΣΤΥΝΟΜΙΑΣ","ΕΣΩΤΕΡΙΚΩΝ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ - ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ","ΕΝΤΟΣ","","www.astynomia.gr","Shockwave Flash Embed/PHP/","Apache/","N/A","N/A","self hosted","N/A"
"ΑΤΤΙΚΟ ΜΕΤΡΟ","ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ","ΑΝΩΝΥΜΕΣ ΕΤΑΙΡΕΙΕΣ","ΥΠΟΔΟΜΩΝ","ΕΝΤΟΣ","","https://www.ametro.gr/","Adobe Dreamweaver/Shockwave Flash Embed/ASP.NET/Classic ASP/PHP/PHP 7/","IIS/IIS 6/Apache/Apache 2.2/nginx/","yes","yes","Cloudflare Hosting","Copyright Year 2018"
"ΑΥΤΟΝΟΜΟΣ ΟΙΚΟΔΟΜΙΚΟΣ ΟΡΓΑΝΙΣΜΟΣ ΑΞΙΩΜΑΤΙΚΩΝ","ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","","https://aooa.army.gr/","PHP/","","N/A","N/A","self hosted","N/A"
"ΑΥΤΟΤΕΛΕΙΣ ΥΠΗΡΕΣΙΕΣ ΕΠΟΠΤΕΙΑΣ ΟΤΑ","ΑΠΟΚΕΝΤΡΩΜΕΝΕΣ ΔΙΟΙΚΗΣΕΙΣ","ΑΥΤΟΤΕΛΕΙΣ ΔΗΜΟΣΙΕΣ ΥΠΗΡΕΣΙΕΣ","","ΕΝΤΟΣ","","www.ypes.gr","ASP.NET 2.0/ASP.NET Ajax/Shockwave Flash Embed/ASP.NET/","IIS/IIS 6/","N/A","N/A","self hosted","N/A"
"ΑΥΤΟΤΕΛΗΣ ΥΠΗΡΕΣΙΑ ΠΡΟΣΤΑΣΙΑΣ ΔΙΚΑΙΩΜΑΤΩΝ ΑΣΘΕΝΩΝ","ΥΓΕΙΑΣ","ΥΠΗΡΕΣΙΕΣ ΚΑΙ ΣΩΜΑΤΑ ΕΠΙΘΕΩΡΗΣΗΣ ΚΑΙ ΕΛΕΓΧΟΥ","","ΕΝΤΟΣ","","www.bestrong.org.gr","PHP/","Apache/Apache 2.4/","yes","yes","iomart","N/A"
"ΒΑΡΒΑΚΕΙΟ ΙΔΡΥΜΑ","ΟΙΚΟΝΟΜΙΚΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΠΕ&Θ","gym-peir-athin.att.sch.gr","Graphene/PHP/","Apache/","yes","N/A","self hosted","N/A"
"ΒΑΡΒΑΚΕΙΟ ΙΔΡΥΜΑ","ΠΑΙΔΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΠΑΙΔΕΙΑΣ ΔΙΑ ΒΙΟΥ ΜΑΘΗΣΗΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΩΝ","ΕΝΤΟΣ","ΣΥΝΕΠΟΠΤΕΙΑ ΜΕ ΥΠΟΙΚ","gym-peir-athin.att.sch.gr","Graphene/PHP/","Apache/","yes","N/A","self hosted","N/A"
"ΒΙΟΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΑΘΗΝΩΝ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΕΜΠΟΡΙΟΥ","ΕΝΤΟΣ","ΥΠΟ ΤΗΝ ΕΠΟΠΤΕΙΑ ΤΟΥ ΥΠΟΥΡΓΟΥ ΟΙΚ. & ΑΝ. ΚΑΙ ΤΟΥ ΟΙΚΕΙΟΥ ΣΥΝΤΟΝΙΣΤΗ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ","https://www.iccwbo.gr","PHP/","Apache/","yes","yes","myLoc managed IT","Copyright Year 2012"
"ΒΙΟΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΕΜΠΟΡΙΟΥ","ΕΝΤΟΣ","ΥΠΟ ΤΗΝ ΕΠΟΠΤΕΙΑ ΤΟΥ ΥΠΟΥΡΓΟΥ ΟΙΚ. & ΑΝ. ΚΑΙ ΤΟΥ ΟΙΚΕΙΟΥ ΣΥΝΤΟΝΙΣΤΗ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ","https://www.veth.gov.gr/","","Apache/","N/A","yes","Hetzner","N/A"
"ΒΙΟΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΠΕΙΡΑΙΩΣ","ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ ΑΝΑΠΤΥΞΗΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","ΕΜΠΟΡΙΟΥ","ΕΝΤΟΣ","ΥΠΟ ΤΗΝ ΕΠΟΠΤΕΙΑ ΤΟΥ ΥΠΟΥΡΓΟΥ ΟΙΚ. & ΑΝ. ΚΑΙ ΤΟΥ ΟΙΚΕΙΟΥ ΣΥΝΤΟΝΙΣΤΗ ΑΠΟΚΕΝΤΡΩΜΕΝΗΣ ΔΙΟΙΚΗΣΗΣ","www.bep.gr/","Shockwave Flash Embed/PHP/","Apache 2.2/Apache/","yes","N/A","Dedicated Hosting","Copyright Year 2013"
"ΒΥΖΑΝΤΙΝΟ ΚΑΙ ΧΡΙΣΤΙΑΝΙΚΟ ΜΟΥΣΕΙΟ ","ΠΟΛΙΤΙΣΜΟΥ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ","ΕΙΔΙΚΕΣ ΠΕΡΙΦΕΡΕΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ","ΠΟΛΙΤΙΣΜΟΥ","ΕΝΤΟΣ","","www.byzantinemuseum.gr","Shockwave Flash Embed/PHP/Adobe Dreamweaver/","Apache/","yes","yes","Gyron Internet","N/A"
"Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΝΟΣ. ΠΕΙΡΑΙΑ ΜΕΤΑΞΑ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","https://www.anytime.gr","J2EE/","Apache 2.4/Apache/","yes","yes","Dedicated Hosting","Copyright Year 2012"
"Γ. ΑΝΤΙΚΑΡΚΙΝΙΚΟ ΟΓΚΟΛ. ΝΟΣ. ΑΘΗΝΑΣ Ο ΑΓΙΟΣ ΣΑΒΒΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"Γ. ΟΓΚΟΛΟΓΙΚΟ ΝΟΣ. ΚΗΦΙΣΙΑΣ ΟΙ ΑΓΙΟΙ ΑΝΑΡΓΥΡΟΙ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","https://ppp.eaadhsy.gr","PHP/PHP 7/","Apache/Apache 2.4/","N/A","N/A","self hosted","N/A"
"Γ. ΠΑΝΑΡΚΑΔΙΚΟ ΝΟΣ. ΤΡΙΠΟΛΗΣ Η ΕΥΑΓΓΕΛΙΣΤΡΙΑ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","www.arcadiaportal.gr","Shockwave Flash Embed/PHP/","lighttpd/Apache 2.2/Apache/","yes","N/A","i3D.net","Copyright Year 2018"
"Γ.Ν. - Κ.Υ. ΙΚΑΡΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","www.gnikarias.org/","PHP/OpenResty/Mercantile/","nginx/","N/A","N/A","Aruba","N/A"
"Γ.Ν. - Κ.Υ. ΚΥΘΗΡΩΝ ΤΡΙΦΥΛΛΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","https://www.gnk.gov.gr/","Mercantile/","Apache/","yes","N/A","self hosted","N/A"
"Γ.Ν. - Κ.Υ. ΛΗΜΝΟΥ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","www.limnoshospital.gr","PHP/","Apache/","yes","yes","Hetzner","N/A"
"Γ.Ν. - Κ.Υ. ΝΑΞΟΥ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","https://www.diavgeia.gov.gr","","nginx/","yes","yes","self hosted","N/A"
"Γ.Ν. - Κ.Υ. ΝΕΑΠΟΛΕΩΣ ΔΙΑΛΥΝΑΚΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","7η ΔΥΠΕ","www.data.gov.gr","","nginx/nginx 1.4/","yes","N/A","self hosted","N/A"
"Γ.Ν. - Κ.Υ. ΦΙΛΙΑΤΩΝ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","www.gnfiliaton.gr/","","Apache/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΣΚΛΗΠΙΕΙΟ ΒΟΥΛΑΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","2η ΔΥΠΕ","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΕΛΕΝΑ ΒΕΝΙΖΕΛΟΥ - ΑΛΕΞΑΝΔΡΑ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.uhi.gr/index.php","","Apache/","N/A","N/A","self hosted","N/A"
"Γ.Ν. ΜΑΜΑΤΣΕΙΟ - ΜΠΟΔΟΣΑΚΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","3η ΔΥΠΕ","noWebsite","","","","","",""
"Γ.Ν. ΠΑΠΑΓΕΩΡΓΙΟΥ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΙΔΙΩΤΙΚΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","3η ΔΥΠΕ","https://www.papageorgiou-hospital.gr/","Frontpage Extensions/Perl/PHP/OpenResty/","Apache/Apache 2.2/Apache 2.4/LiteSpeed/","yes","yes","LeaseWeb","Copyright Year 2017"
"Γ.Ν. ΑΘΗΝΑΣ Η ΠΑΜΜΑΚΑΡΙΣΤΟΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΘΗΝΩΝ Γ. ΓΕΝΝΗΜΑΤΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","noWebsite","","","","","",""
"Γ.Ν. ΑΘΗΝΩΝ ΕΛΠΙΣ (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΘΗΝΩΝ ΙΠΠΟΚΡΑΤΕΙΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","https://www.ene.gr","PHP/Shockwave Flash Embed/","Apache 2.2/Apache/Apache 2.4/","yes","yes","self hosted","Copyright Year 2015"
"Γ.Ν. ΑΘΗΝΩΝ ΚΟΡΓΙΑΛΕΝΕΙΟ - ΜΠΕΝΑΚΕΙΟ Ε.Ε.Σ. (ΕΙΔΙΚΟΥ ΚΑΘΕΣΤΩΤΟΣ)","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.minadmin.gov.gr","PHP/","Apache/Apache 2.4/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΘΗΝΩΝ ΛΑΪΚΟ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","enne.gr","PHP/","Apache/nginx/Apache 2.2/","yes","yes","Hetzner","Copyright Year 2015"
"Γ.Ν. ΑΘΗΝΩΝ Ο ΕΥΑΓΓΕΛΙΣΜΟΣ - ΟΦΘΑΛΜΙΑΤΡΕΙΟ ΑΘΗΝΩΝ - ΠΟΛΥΚΛΙΝΙΚΗ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","1η ΔΥΠΕ","www.evaggelismos-hosp.gr","PHP/Google PageSpeed Module/","Apache/Apache 2.2/nginx/","yes","yes","Forthnet","Copyright Year 2016"
"Γ.Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","https://hospital-agrinio.gr/","Frontpage Extensions/PHP/Twenty Thirteen/PHP 7/","Apache 2.2/Apache/","yes","yes","Hetzner","Copyright Year 2014"
"Γ.Ν. ΑΜΦΙΣΣΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","5η ΔΥΠΕ","www.gnamfissas.gr/","","Apache/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΝΑΤΟΛΙΚΗΣ ΑΧΑΪΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","https://career.duth.gr","PHP/","Apache/Apache 2.2/","yes","N/A","self hosted","N/A"
"Γ.Ν. ΑΡΓΟΛΙΔΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","www.gnn.gov.gr/","","Apache/","N/A","N/A","self hosted","N/A"
"Γ.Ν. ΑΡΤΑΣ","ΥΓΕΙΑΣ","ΝΟΜΙΚΑ ΠΡΟΣΩΠΑ ΔΗΜΟΣΙΟΥ ΔΙΚΑΙΟΥ","","ΕΝΤΟΣ","6η ΔΥΠΕ","www.gnartas.gr/","","Apache 2.4/Apache/","N/A","N/A","self hosted","N/A"
